frame_id,x,y,w,h,center_x,center_y,score,detected,used_for_trajectory,track_direction,reject_reason
174,522,477,20,33,636,597,-1.0,0,0,,
175,522,477,20,33,639,600,-1.0,0,0,,
176,522,477,20,33,642,603,-1.0,0,0,,
177,522,477,20,33,645,606,-1.0,0,0,,
178,522,477,20,33,648,609,-1.0,0,0,,
179,522,477,20,33,651,612,-1.0,0,0,,
180,522,477,20,33,654,615,-1.0,0,0,,
181,522,477,20,33,657,618,-1.0,0,0,,
182,522,477,20,33,660,621,-1.0,0,0,,
183,522,477,20,33,663,624,-1.0,0,0,,
184,522,477,20,33,666,627,-1.0,0,0,,
185,522,477,20,33,669,630,0.7604371904815718,0,0,,
186,522,477,20,33,672,633,-1.0,0,0,,
187,522,477,20,33,675,636,-1.0,0,0,,
188,522,477,20,33,678,639,-1.0,0,0,,
189,522,477,20,33,681,642,-1.0,0,0,,
190,522,477,20,33,684,645,-1.0,0,0,,
191,522,477,20,33,686,648,-1.0,0,0,,
192,522,477,20,33,689,651,-1.0,0,0,,
193,522,477,20,33,692,654,-1.0,0,0,,
194,522,477,20,33,695,657,-1.0,0,0,,
195,522,477,20,33,698,660,-1.0,0,0,,
196,522,477,20,33,701,663,-1.0,0,0,,
197,522,477,20,33,704,666,0.773366698954307,0,0,,
198,522,477,20,33,707,669,0.8048429302348111,0,0,,
199,522,477,20,33,710,672,0.776677678402986,0,0,,
200,522,477,20,33,713,675,0.833751255783533,0,0,,
201,522,477,20,33,716,678,0.8251522845014517,0,0,,
202,522,477,20,33,719,682,0.7858390351430193,0,0,,
203,522,477,20,33,722,685,0.8069230630518757,0,0,,
204,522,477,20,33,725,688,0.8342496706855123,0,0,,
205,522,477,20,33,728,691,0.8062988433904966,0,0,,
206,522,477,20,33,731,694,0.8237698949766837,0,0,,
207,522,477,20,33,734,697,0.810375694732789,0,0,,
208,522,477,20,33,737,700,0.7991038403288312,0,0,,
209,522,477,20,33,740,703,0.7819058518867067,0,0,,
210,522,477,20,33,743,706,0.7697420899675977,0,0,,
211,522,477,20,33,746,709,0.7771514276011288,0,0,,
212,522,477,20,33,749,712,0.7677258582578287,0,0,,
213,522,477,20,33,752,715,0.788804576464345,0,0,,
214,522,477,20,33,755,718,0.7698972156871319,0,0,,
215,522,477,20,33,758,721,0.7806502243289796,0,0,,
216,522,477,20,33,761,724,0.7683486913707035,0,0,,
217,522,477,20,33,764,727,0.7767964486254922,0,0,,
218,522,477,20,33,766,730,0.7827349413425603,0,0,,
219,522,477,20,33,769,733,-1.0,0,0,,
220,522,477,20,33,772,736,0.7697655394345604,0,0,,
221,522,477,20,33,775,739,0.7719011154802277,0,0,,
222,522,477,20,33,778,742,0.773522272277645,0,0,,
223,522,477,20,33,781,745,0.7775822362941569,0,0,,
224,522,477,20,33,784,748,0.8127590393210159,0,0,,
225,522,477,20,33,787,751,0.8558825361483328,0,0,,
226,522,477,20,33,790,754,0.8479287796959233,0,0,,
227,522,477,20,33,793,757,0.8533253028289126,0,0,,
228,522,477,20,33,796,760,-1.0,0,0,,
229,522,477,20,33,799,763,0.7748786299730483,0,0,,
230,522,477,20,33,802,766,-1.0,0,0,,
231,522,477,20,33,805,769,-1.0,0,0,,
232,522,477,20,33,808,772,-1.0,0,0,,
233,522,477,20,33,811,775,-1.0,0,0,,
234,522,477,20,33,814,778,-1.0,0,0,,
235,522,477,20,33,817,781,-1.0,0,0,,
236,522,477,20,33,820,784,-1.0,0,0,,
237,522,477,20,33,823,787,-1.0,0,0,,
238,522,477,20,33,826,790,-1.0,0,0,,
239,522,477,20,33,829,793,-1.0,0,0,,
240,522,477,20,33,832,796,-1.0,0,0,,
241,522,477,20,33,835,799,-1.0,0,0,,
242,522,477,20,33,838,802,-1.0,0,0,,
243,522,477,20,33,841,806,-1.0,0,0,,
244,522,477,20,33,844,809,-1.0,0,0,,
245,522,477,20,33,847,812,-1.0,0,0,,
246,522,477,20,33,849,815,-1.0,0,0,,
247,522,477,20,33,852,818,-1.0,0,0,,
248,522,477,20,33,855,821,-1.0,0,0,,
249,522,477,20,33,858,824,-1.0,0,0,,
250,522,477,20,33,861,827,-1.0,0,0,,
