frame_id,x,y,w,h,center_x,center_y,score,detected,predicted,used_for_trajectory,template_id
191,1566,736,161,59,1646,765,-1.0,0,1,0,-1
192,1527,734,161,59,1607,763,721.0,1,0,1,-1
193,1527,737,161,59,1607,766,-1.0,0,1,0,-1
194,1487,732,161,59,1567,761,694.0,1,0,1,-1
195,1487,735,161,59,1567,764,-1.0,0,1,0,-1
196,1451,729,161,59,1531,758,784.0,1,0,1,-1
197,1451,732,161,59,1531,761,-1.0,0,1,0,-1
198,1451,735,161,59,1531,764,-1.0,0,1,0,-1
199,1421,731,161,59,1501,760,636.0,1,0,1,-1
200,1406,728,161,59,1486,757,682.0,1,0,1,-1
201,1385,722,161,59,1465,751,492.0,1,0,1,-1
202,1374,722,161,59,1454,751,420.0,1,0,1,-1
203,1359,659,161,59,1439,688,289.0,1,0,1,-1
204,1341,725,161,59,1421,754,100.0,1,0,1,-1
205,1360,725,161,59,1440,754,313.0,1,0,1,-1
206,1344,729,161,59,1424,758,166.0,1,0,1,-1
207,1363,727,161,59,1443,756,316.0,1,0,1,-1
208,1425,728,161,59,1505,757,146.0,1,0,1,-1
209,1391,727,161,59,1471,756,481.0,1,0,1,-1
210,1394,724,161,59,1474,753,513.0,1,0,1,-1
211,1386,724,161,59,1466,753,532.0,1,0,1,-1
212,1381,725,161,59,1461,754,629.0,1,0,1,-1
213,1350,730,161,59,1430,759,381.0,1,0,1,-1
214,1363,724,161,59,1443,753,656.0,1,0,1,-1
215,1352,724,161,59,1432,753,713.0,1,0,1,-1
216,1343,724,161,59,1423,753,752.0,1,0,1,-1
217,1328,725,161,59,1408,754,746.0,1,0,1,-1
218,1312,726,161,59,1392,755,750.0,1,0,1,-1
219,1312,729,161,59,1392,758,-1.0,0,1,0,-1
220,1286,722,161,59,1366,751,728.0,1,0,1,-1
221,1262,723,161,59,1342,752,700.0,1,0,1,-1
222,1239,724,161,59,1319,753,674.0,1,0,1,-1
223,1221,722,161,59,1301,751,746.0,1,0,1,-1
224,1193,722,161,59,1273,751,623.0,1,0,1,-1
225,1179,719,161,59,1259,748,759.0,1,0,1,-1
226,1155,719,161,59,1235,748,653.0,1,0,1,-1
227,1136,716,161,59,1216,745,729.0,1,0,1,-1
228,1114,715,161,59,1194,744,709.0,1,0,1,-1
229,1092,714,161,59,1172,743,684.0,1,0,1,-1
230,1066,713,161,59,1146,742,699.0,1,0,1,-1
231,1040,711,161,59,1120,740,588.0,1,0,1,-1
232,1013,711,161,59,1093,740,616.0,1,0,1,-1
233,990,709,161,59,1070,738,503.0,1,0,1,-1
234,967,706,161,59,1047,735,391.0,1,0,1,-1
235,942,705,161,59,1022,734,476.0,1,0,1,-1
236,930,706,161,59,1010,735,386.0,1,0,1,-1
237,913,708,161,59,993,737,445.0,1,0,1,-1
238,893,705,161,59,973,734,346.0,1,0,1,-1
239,873,706,161,59,953,735,399.0,1,0,1,-1
240,857,707,161,59,937,736,398.0,1,0,1,-1
241,839,706,161,59,919,735,322.0,1,0,1,-1
242,825,706,161,59,905,735,323.0,1,0,1,-1
243,825,706,161,59,905,735,427.0,1,0,1,-1
244,812,705,161,59,892,734,428.0,1,0,1,-1
245,797,705,161,59,877,734,456.0,1,0,1,-1
246,778,705,161,59,858,734,475.0,1,0,1,-1
247,759,704,161,59,839,733,439.0,1,0,1,-1
248,738,704,161,59,818,733,468.0,1,0,1,-1
249,705,706,161,59,785,735,394.0,1,0,1,-1
250,694,704,161,59,774,733,470.0,1,0,1,-1
251,678,702,161,59,758,731,449.0,1,0,1,-1
252,662,700,161,59,742,729,443.0,1,0,1,-1
253,640,700,161,59,720,729,516.0,1,0,1,-1
254,622,700,161,59,702,729,521.0,1,0,1,-1
255,604,699,161,59,684,728,536.0,1,0,1,-1
256,593,700,161,59,673,729,564.0,1,0,1,-1
257,576,700,161,59,656,729,542.0,1,0,1,-1
258,553,696,161,59,633,725,443.0,1,0,1,-1
259,545,698,161,59,625,727,454.0,1,0,1,-1
260,527,696,161,59,607,725,460.0,1,0,1,-1
261,514,695,161,59,594,724,468.0,1,0,1,-1
262,505,694,161,59,585,723,314.0,1,0,1,-1
263,498,694,161,59,578,723,339.0,1,0,1,-1
264,474,688,161,59,554,717,200.0,1,0,1,-1
265,471,688,161,59,551,717,195.0,1,0,1,-1
266,463,688,161,59,543,717,176.0,1,0,1,-1
267,460,689,161,59,540,718,166.0,1,0,1,-1
268,459,689,161,59,539,718,143.0,1,0,1,-1
269,470,685,161,59,550,714,72.0,1,0,1,-1
